id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
MWI,Malawi,203.45,113.79,0,79.31,14.94,0,14.37,10.11,1.15,0,1.38,10.34,0,68.58,12.24,5.86,24.48,87.31,229.31,12.64
MYS,Malaysia,137.93,96.55,50.57,35.63,32.18,10.34,8.74,3.91,3.45,20.69,1.38,4.14,55.23,60.53,6.33,2.76,12.65,148.18,230.18,95
MLI,Mali,102.3,79.31,62.07,45.98,0,0,2.87,4.6,1.15,0,2.3,6.9,0,48.28,3.74,4.6,7.47,63.23,113.22,08.05
MEX,Mexico,368.97,306.9,191.95,75.86,48.28,16.09,12.93,5.98,1.72,14.94,1.15,3.45,56.74,168.01,9.46,2.3,18.91,248.31,458.75,96.62
MDA,Moldova,111.49,65.52,34.48,17.24,0,0,10.98,5.86,1.26,0,0.46,1.38,51.16,38.12,8.42,0.92,16.84,93.3,176.27,58.74
MNG,Mongolia,103.45,75.86,62.07,29.89,6.9,0,17.24,6.9,2.18,04.02,0.69,3.45,61.74,46.36,12.07,02.07,24.14,120.51,192.08,75.53
MNE,Montenegro,149.43,65.52,39.08,28.74,18.39,0,19.25,4.71,2.53,7.7,2.3,4.83,52.21,50.19,11.98,3.57,23.96,123.33,235.95,69.45
MAR,Morocco,228.74,96.55,57.47,47.13,42.53,11.49,14.02,07.01,3.68,5.52,1.15,4.14,58.26,80.65,10.52,2.65,21.03,156.05,314.36,87.11
MOZ,Mozambique,283.91,127.59,57.47,42.53,0,0,26.67,12.64,1.95,0,0.46,8.28,76.16,85.25,19.66,4.37,39.31,176.47,396.97,91.21
NAM,Namibia,150.57,81.61,71.26,48.28,0,0,21.21,6.32,1.61,137.93,8.28,5.52,33.26,58.62,13.77,6.9,27.53,252.12,350.1,187.4
NPL,Nepal,137.93,88.51,63.22,22.99,10.34,0,04.02,7.24,2.3,7.7,0.46,3.45,28.95,53.83,5.63,1.96,11.26,98.65,184.35,46.65
NLD,Netherlands,335.63,186.21,165.52,145.98,122.99,36.78,47.07,11.03,6.32,17.24,08.05,18.62,60,165.52,29.05,13.34,58.1,289.08,484.88,139.42
NCL,New Caledonia,703.45,193.1,116.09,78.16,0,0,61.61,10.8,2.53,0,3.91,10.34,62.44,181.8,36.21,7.13,72.41,268.15,840.37,79.68
NZL,New Zealand,239.08,175.86,134.48,82.76,19.54,0,38.45,9.66,6.67,29.89,6.67,15.86,67.56,108.62,24.06,11.27,48.11,246.54,397.51,120.45
NIC,Nicaragua,127.59,94.25,60.92,29.89,9.2,0,10.34,6.32,1.15,6.44,0.46,5.52,43.6,53.64,8.33,2.99,16.66,113.8,194.64,57.97
NGA,Nigeria,360.92,273.56,136.78,37.93,35.63,24.14,25.34,11.49,2.18,0,02.07,17.24,76.74,144.83,18.42,9.66,36.83,252.71,482.42,116.62
NOR,Norway,377.01,133.33,117.24,64.37,36.78,44.83,75.8,18.05,13.22,0,12.41,15.86,80.58,128.93,46.93,14.14,93.85,265.13,562.47,169.09
OMN,Oman,552.87,186.21,125.29,90.8,70.11,36.78,10.46,6.9,8.97,0,1.15,8.28,77.33,177.01,8.68,4.72,17.36,277.46,657.91,131.13
PAK,Pakistan,78.16,59.77,48.28,41.38,26.44,0,5.46,5.52,2.76,9.2,0.46,02.07,35.12,42.34,5.49,1.27,10.98,93.21,132.77,53.06
PAN,Panama,144.83,94.25,83.91,37.93,27.59,0,17.24,5.75,1.38,18.39,0.69,7.59,24.42,64.75,11.5,4.14,22.99,121.36,213.85,50.63
PNG,Papua New Guin,235.63,211.49,158.62,114.94,0,0,33.62,11.38,07.01,6.21,2.3,14.48,103.49,120.11,22.5,8.39,45,261.99,400.44,130.39
PRY,Paraguay,117.24,71.26,51.72,21.84,0,0,14.37,5.98,1.61,22.99,1.15,6.9,63.6,43.68,10.18,04.03,20.35,143.95,226.71,95.33
PER,Peru,345.98,137.93,54.02,31.03,17.24,0,14.83,06.09,02.07,13.79,0.92,8.97,49.53,97.7,10.46,4.95,20.92,177.93,435.17,72.4
POL,Poland,85.06,60.92,54.02,43.68,39.08,18.39,16.9,5.98,2.3,11.26,2.3,5.52,51.63,50.19,11.44,3.91,22.88,127.11,172.67,91.86
PRT,Portugal,87.36,81.61,50.57,45.98,40.23,19.54,23.56,8.62,2.3,13.79,4.6,4.83,49.53,54.22,16.09,4.72,32.18,133.98,181.37,98.38
